frame_idx,timestamp_ms,landmark_idx,landmark_name,x_m,y_m,z_m,visibility,presence
0,0,11,left_shoulder,0.180588960647583,-0.4484328627586365,-0.12092205882072449,0.9975419044494629,0.9887353777885437
0,0,12,right_shoulder,-0.1523527204990387,-0.5084806084632874,-0.03880273550748825,0.9852958917617798,0.9190528392791748
0,0,23,left_hip,0.10189355909824371,0.005582602694630623,0.021963654085993767,0.9896765351295471,0.9747869372367859
0,0,24,right_hip,-0.0991223156452179,-0.00994115136563778,-0.021462315693497658,0.9854754209518433,0.9560744762420654
0,0,13,left_elbow,0.24912023544311523,-0.24819360673427582,-0.1615929752588272,0.9341965913772583,0.9721026420593262
0,0,14,right_elbow,-0.18929286301136017,-0.23589935898780823,-0.06802402436733246,0.3941410481929779,0.9190608263015747
0,0,15,left_wrist,0.24084939062595367,-0.019542595371603966,-0.1833919733762741,0.44396862387657166,0.8989959955215454
0,0,16,right_wrist,-0.19406336545944214,-0.05976668372750282,-0.13917766511440277,0.059081725776195526,0.7131654024124146
0,0,21,left_thumb,0.22857381403446198,0.014068404212594032,-0.19283704459667206,0.3534541428089142,0.8491024971008301
0,0,22,right_thumb,-0.17515255510807037,-0.05857372283935547,-0.15606588125228882,0.06296968460083008,0.6672104001045227
0,0,19,left_index,0.19355501234531403,0.04210034757852554,-0.2111080288887024,0.3952593505382538,0.7879632711410522
0,0,20,right_index,-0.13281619548797607,-0.05151583254337311,-0.19091415405273438,0.05845821648836136,0.5446397662162781
0,0,17,left_pinky,0.23710685968399048,0.0345170721411705,-0.19693876802921295,0.36570996046066284,0.7635491490364075
0,0,18,right_pinky,-0.15933112800121307,-0.01569952443242073,-0.17053452134132385,0.05228472501039505,0.5374534726142883
1,17,11,left_shoulder,0.17135316133499146,-0.44924330711364746,-0.12281591445207596,0.9972867369651794,0.9632578492164612
1,17,12,right_shoulder,-0.1524152159690857,-0.5077686309814453,-0.04603877291083336,0.9823570847511292,0.7074741125106812
1,17,23,left_hip,0.10110647231340408,0.0051088640466332436,0.02263660915195942,0.9838829636573792,0.8085883259773254
1,17,24,right_hip,-0.09823630005121231,-0.009569992311298847,-0.022120896726846695,0.9777923822402954,0.6905190348625183
1,17,13,left_elbow,0.24139465391635895,-0.25517088174819946,-0.16673313081264496,0.9275967478752136,0.8855817914009094
1,17,14,right_elbow,-0.19231382012367249,-0.23589642345905304,-0.07141623646020889,0.38640859723091125,0.7142469882965088
