frame_idx,timestamp_ms,landmark_idx,landmark_name,x,y,z,visibility,presence
0,0,11,left_shoulder,0.7975327968597412,0.2280670553445816,-1.7858275175094604,0.999495267868042,0.9990637898445129
0,0,12,right_shoulder,0.15046808123588562,0.25299501419067383,-0.9561740159988403,0.9982839226722717,0.9977521300315857
0,0,23,left_hip,0.6186819076538086,0.7464471459388733,-0.24735599756240845,0.9570568203926086,0.8082431554794312
0,0,24,right_hip,0.28932273387908936,0.7357858419418335,0.252406507730484,0.9503557682037354,0.8191283345222473
0,0,13,left_elbow,0.8774913549423218,0.5582035779953003,-1.7880136966705322,0.9993568062782288,0.9975442290306091
0,0,14,right_elbow,0.13423755764961243,0.5248820185661316,-0.6690127849578857,0.9098213315010071,0.9975810050964355
0,0,15,left_wrist,0.9171320796012878,0.8798320293426514,-2.111229658126831,0.9884825348854065,0.9284250140190125
0,0,16,right_wrist,-0.011799156665802002,0.7397052645683289,-1.06760835647583,0.7859271764755249,0.9549779891967773
0,0,21,left_thumb,0.8680270910263062,0.9313910603523254,-2.1729679107666016,0.9784335494041443,0.8040648698806763
0,0,22,right_thumb,0.012074530124664307,0.7973755598068237,-1.1811031103134155,0.8258675932884216,0.8811789751052856
0,0,19,left_index,0.9798840284347534,0.9686407446861267,-2.4428505897521973,0.9725029468536377,0.69387286901474
0,0,20,right_index,-0.022147834300994873,0.8263064026832581,-1.3997435569763184,0.7781206965446472,0.8064209818840027
0,0,17,left_pinky,1.0445671081542969,0.9554973840713501,-2.328202724456787,0.9660546183586121,0.5675363540649414
0,0,18,right_pinky,-0.07466459274291992,0.809661865234375,-1.1769577264785767,0.7470096349716187,0.7450554966926575
1,17,11,left_shoulder,0.7997303009033203,0.22807426750659943,-1.6598281860351562,0.9995297193527222,0.9997547268867493
1,17,12,right_shoulder,0.14546994864940643,0.25376394391059875,-0.9285401701927185,0.998420238494873,0.9995218515396118
1,17,23,left_hip,0.6183505654335022,0.7906177043914795,-0.23304539918899536,0.959732711315155,0.9348046779632568
1,17,24,right_hip,0.27703583240509033,0.7675151228904724,0.2362683117389679,0.9534685611724854,0.9301019310951233
1,17,13,left_elbow,0.8869205713272095,0.5579319596290588,-1.6098504066467285,0.9994059205055237,0.9994463324546814
1,17,14,right_elbow,0.11572260409593582,0.5394840240478516,-0.628578782081604,0.9169917106628418,0.9990839958190918
1,17,15,left_wrist,0.9202592372894287,0.8814255595207214,-1.8581968545913696,0.9892517924308777,0.9873718023300171
1,17,16,right_wrist,-0.013600179925560951,0.7706877589225769,-0.9902597069740295,0.8011993169784546,0.9857044219970703
1,17,21,left_thumb,0.8641033172607422,0.9313941597938538,-1.91946280002594,0.9794467091560364,0.9560280442237854
1,17,22,right_thumb,0.006518950220197439,0.8212172389030457,-1.09064781665802,0.836064875125885,0.9568946957588196
1,17,19,left_index,0.917781412601471,0.96418297290802,-2.1907544136047363,0.9738606810569763,0.9195261597633362
1,17,20,right_index,-0.03311804682016373,0.8464356660842896,-1.3152934312820435,0.7915312051773071,0.9286928772926331
1,17,17,left_pinky,0.990961492061615,0.9560273885726929,-2.059161901473999,0.9677350521087646,0.8676297664642334
1,17,18,right_pinky,-0.07813752442598343,0.8371796011924744,-1.1098796129226685,0.762289822101593,0.9042920470237732
2,33,11,left_shoulder,0.7997345328330994,0.22771285474300385,-1.5701297521591187,0.9995335340499878,0.9980574250221252
2,33,12,right_shoulder,0.14501141011714935,0.2537246644496918,-0.8402547836303711,0.9984393119812012,0.9949878454208374
2,33,23,left_hip,0.6158677935600281,0.8182695508003235,-0.23326469957828522,0.9537299871444702,0.7522791624069214
2,33,24,right_hip,0.2737328112125397,0.7922041416168213,0.23657867312431335,0.9443522095680237,0.7240078449249268
2,33,13,left_elbow,0.9011695384979248,0.5594725012779236,-1.4996376037597656,0.999180257320404,0.9803621768951416
2,33,14,right_elbow,0.11401897668838501,0.5438254475593567,-0.5400182604789734,0.9101712703704834,0.9771748185157776
2,33,15,left_wrist,0.935117244720459,0.882966935634613,-1.7500826120376587,0.9847678542137146,0.688308835029602
2,33,16,right_wrist,-0.01330815814435482,0.7693778872489929,-0.8993484377861023,0.7824048399925232,0.7645634412765503
2,33,21,left_thumb,0.8692516088485718,0.9325252771377563,-1.821867823600769,0.971603512763977,0.5239347219467163
2,33,22,right_thumb,0.00622710632160306,0.8226252794265747,-1.0041985511779785,0.8153684735298157,0.620477557182312
2,33,19,left_index,0.9191230535507202,0.9734230041503906,-2.098952054977417,0.9659948348999023,0.4342113137245178
2,33,20,right_index,-0.034086696803569794,0.8456361889839172,-1.2319109439849854,0.7725605964660645,0.5507626533508301
2,33,17,left_pinky,0.994585394859314,0.9696465730667114,-1.9486465454101562,0.957584798336029,0.3440123200416565
2,33,18,right_pinky,-0.07766745984554291,0.8369061350822449,-1.021565318107605,0.7408309578895569,0.49548953771591187
3,50,11,left_shoulder,0.799152672290802,0.22751976549625397,-1.444125771522522,0.9995395541191101,0.9988364577293396
3,50,12,right_shoulder,0.14330226182937622,0.2538394033908844,-0.7978957891464233,0.9984468221664429,0.9962626099586487
3,50,23,left_hip,0.6131154894828796,0.8340386748313904,-0.2258632630109787,0.9512771964073181,0.8088912963867188
3,50,24,right_hip,0.26827430725097656,0.8141389489173889,0.229640930891037,0.9398367404937744,0.7768204808235168
3,50,13,left_elbow,0.9013300538063049,0.5598019957542419,-1.291365623474121,0.9991095662117004,0.9906880855560303
3,50,14,right_elbow,0.1059323325753212,0.5542945861816406,-0.5173448920249939,0.9108970165252686,0.9864317774772644
3,50,15,left_wrist,0.95665043592453,0.8825125098228455,-1.514741063117981,0.9841386675834656,0.8700238466262817
3,50,16,right_wrist,0.010656854137778282,0.7672394514083862,-0.8880998492240906,0.7842300534248352,0.899906575679779
3,50,21,left_thumb,0.8692991733551025,0.9239137172698975,-1.593217134475708,0.970191240310669,0.7552218437194824
3,50,22,right_thumb,0.024176601320505142,0.822333037853241,-0.9843775033950806,0.812669038772583,0.8219903707504272
3,50,19,left_index,0.9039402604103088,0.9566195607185364,-1.8617578744888306,0.9646963477134705,0.6728640198707581
3,50,20,right_index,-0.006775815039873123,0.8493101000785828,-1.2040627002716064,0.7721589207649231,0.7742472887039185
3,50,17,left_pinky,0.9963734745979309,0.9691721796989441,-1.6928805112838745,0.9559926390647888,0.5811439156532288
3,50,18,right_pinky,-0.056959930807352066,0.8443605303764343,-1.0133458375930786,0.7404133081436157,0.7271934151649475
4,67,11,left_shoulder,0.7988375425338745,0.22793403267860413,-1.5272833108901978,0.9995431900024414,0.9961622953414917
4,67,12,right_shoulder,0.13949283957481384,0.2551375925540924,-0.7624225616455078,0.9984143376350403,0.9877947568893433
