frame_idx,timestamp_ms,has_pose,inference_ms,mean_visibility_keep,mean_presence_keep,occluded_frac_keep,wrist_speed_m_s
0,0,1,170.17800000030547,0.6646861178534371,0.9261342797960553,0.35714285714285715,0.0
1,17,1,136.76619999750983,0.6672169965292726,0.9391554466315678,0.35714285714285715,1.2329806719182501
2,33,1,134.82150000345428,0.6755904225366456,0.9756966020379748,0.35714285714285715,0.38842088724113927
3,50,1,133.63670000398997,0.6733046887176377,0.9498235711029598,0.2857142857142857,1.1054253388368773
4,67,1,138.1958999991184,0.6727554345769542,0.9674443432262966,0.2857142857142857,0.1909252855586606
5,84,1,134.02979999955278,0.6752305861030307,0.9691974009786334,0.2857142857142857,0.18597141395509323
6,100,1,134.27779999619815,0.6760964489408902,0.972789432321276,0.2857142857142857,0.2597308874977787
7,117,1,137.95469999604393,0.675974433443376,0.9645190707274846,0.2857142857142857,0.2875147286034483
8,134,1,134.44460000027902,0.6762474040899958,0.9657654293945858,0.2857142857142857,0.13966890581664507
9,150,1,134.80619998881593,0.6744750046304294,0.9547197478158134,0.2857142857142857,0.3276140363931455
10,167,1,133.77859999309294,0.6768251918256283,0.965626767703465,0.2857142857142857,0.5099007746225372
11,184,1,133.65519999933895,0.6730254872569016,0.9218618316309792,0.2857142857142857,0.7005588983174157
12,201,1,132.93069999781437,0.6721873528191021,0.948028313262122,0.2857142857142857,0.19188406582273537
13,217,1,136.43400000000838,0.6733740882149765,0.950627863407135,0.2857142857142857,0.4255189808083648
14,234,1,132.86740001058206,0.6716524197586945,0.9267616101673671,0.2857142857142857,0.24325426429465855
15,251,1,133.93500000529457,0.6779493423444884,0.9689346849918365,0.2857142857142857,0.2197328005565887
16,268,1,132.18590000178665,0.6843561221446309,0.9803527167865208,0.2857142857142857,0.2362922275091191
17,284,1,132.62949998897966,0.6946530682700021,0.9848743336541312,0.2857142857142857,0.6389033193988402
18,301,1,133.04289999359753,0.7093323256288256,0.9898357902254377,0.2857142857142857,0.5717261965838107
19,318,1,132.36170000163838,0.7294362134167126,0.9937906861305237,0.2857142857142857,0.29317238614894897
20,334,1,138.4392000036314,0.7496639128242221,0.9963558571679252,0.2857142857142857,0.6940273231876938
21,351,1,133.55070000397973,0.7641713321208954,0.9927153885364532,0.2857142857142857,0.263808717354222
22,368,1,132.12989999738056,0.7833574776138578,0.9969616830348969,0.2857142857142857,0.2520251075073447
23,385,1,132.01020000269637,0.802786573767662,0.9970882024083819,0.21428571428571427,0.46404880051480013
24,401,1,131.50519999908283,0.819320580789021,0.9967839164393288,0.0,0.15802080579182212
25,418,1,131.90539999050088,0.8348431885242462,0.9966150181634086,0.0,0.847843410181246
26,435,1,148.3479000016814,0.8490139416285923,0.9972520172595978,0.0,0.11441372883068125
27,451,1,135.12300000002142,0.8611782661506108,0.9966993417058673,0.0,0.1740693090326447
28,468,1,134.15930001065135,0.8719191466059003,0.9967477577073234,0.0,0.5577764453949723
29,485,1,131.81199999235105,0.8814354113170079,0.9962614050933293,0.0,0.23077368880636925
30,502,1,134.73879999946803,0.8901994483811515,0.9967114925384521,0.0,0.5003053813149079
31,518,1,137.05509999999776,0.8988408190863473,0.9963849357196263,0.0,0.30156409297181247
32,535,1,134.1589999938151,0.9072936219828469,0.996684866292136,0.0,0.17623589668927425
33,552,1,134.05430001148488,0.91452956199646,0.9955526462623051,0.0,0.44579944420629275
34,568,1,132.96809999155812,0.920448865209307,0.9969710622514997,0.0,0.19138562587706195
35,585,1,133.49469999957364,0.9260125287941524,0.9960395310606275,0.0,0.2755085947584876
36,602,1,132.7848999935668,0.9314684740134648,0.9955778760569436,0.0,0.18276779935432794
37,619,1,133.36269999854267,0.9367675142628806,0.9962192858968463,0.0,0.2001281024241725
38,635,1,136.23899999947753,0.9413882366248539,0.9962204737322671,0.0,0.2538534710811005
39,652,1,134.10949999524746,0.9452420047351292,0.9958864322730473,0.0,0.1902556169535647
40,669,1,134.1746999969473,0.9486557372978756,0.9958276620932988,0.0,0.22340286910249096
41,685,1,133.42509999347385,0.9507001425538745,0.9936678281852177,0.0,0.16451274743878475
42,702,1,132.28239999443758,0.9535019823483059,0.9964412195341927,0.0,0.625635924494216
43,719,1,131.09739999345038,0.956224398953574,0.9953870049544743,0.0,0.251207345451183
44,736,1,133.54699999035802,0.9580978069986615,0.9949030833584922,0.0,0.2572108010473435
45,752,1,132.4884000059683,0.95890212059021,0.9945448551859174,0.0,0.15624683122850092
46,769,1,132.98580000991933,0.9616629651614598,0.997357828276498,0.0,0.6636868280523942
47,786,1,134.00320000073407,0.962653466633388,0.9953228575842721,0.0,0.16263719784232167
48,803,1,134.90710000041872,0.964676810162408,0.9968078008719853,0.0,0.3716287963571628
49,819,1,131.42920000245795,0.9658720110143934,0.9959381350449154,0.0,0.38024274712517875
50,836,1,132.06890001310967,0.9674400176320758,0.9971882658345359,0.0,0.20116012207382084
51,853,1,132.82249998883344,0.9681269356182644,0.9962034480912345,0.0,0.31063164382548936
52,869,1,132.29350000619888,0.9698727769511086,0.9968372370515551,0.0,0.4931205704784491
53,886,1,133.9080999896396,0.9700151894773755,0.9946602242333549,0.0,0.1355788869850391
54,903,1,133.7679999996908,0.9709137337548392,0.9959438017436436,0.0,0.1326384688906808
55,920,1,132.30540000949986,0.9722950415951865,0.9968106618949345,0.0,0.11954964553427716
56,936,1,134.6557000069879,0.9737797720091683,0.9972406583172935,0.0,0.42422766671008355
57,953,1,133.16420000046492,0.9742310770920345,0.9963659857000623,0.0,0.24193557944737212
58,970,1,132.63150000420865,0.9753088993685586,0.9969733144555774,0.0,0.23630394776737132
59,986,1,131.89689999853726,0.9767667608601707,0.998009307043893,0.0,0.3299474917722146
60,1003,1,134.42820000636857,0.9769296475819179,0.9962763871465411,0.0,0.4170951050348384
61,1020,1,132.89830001303926,0.9776750547545296,0.9972834927695138,0.0,0.46254526554003855
62,1037,1,132.14159999915864,0.9788601270743779,0.9984266928264073,0.0,0.09232200206154512
63,1053,1,131.37009998899885,0.9787587012563433,0.9967519513198307,0.0,0.20721142129838796
64,1070,1,132.51380001020152,0.9784632112298693,0.9965728053024837,0.0,0.43092953965650205
65,1087,1,131.43999999738298,0.9791931978293827,0.9982682083334241,0.0,0.07763533508121306
66,1103,1,133.9871999953175,0.9788484190191541,0.9971009407724652,0.0,0.2422981865476606
67,1120,1,135.04559999273624,0.9789919129439763,0.9974248792443957,0.0,0.20169607064749692
68,1137,1,133.24210001155734,0.9794732843126569,0.9983581900596619,0.0,0.1229647420456085
69,1154,1,134.69890000123996,0.9798359061990466,0.9971133129937308,0.0,0.5716790354247109
70,1170,1,132.79780000448227,0.9800728985241481,0.9973637887409755,0.0,0.25217354679191717
71,1187,1,132.12739999289624,0.9795501743044172,0.9967638722487858,0.0,0.8669408438893795
72,1204,1,133.32990001072176,0.9801451223237174,0.9981585272720882,0.0,0.280535141996407
73,1220,1,133.4839000046486,0.979586524622781,0.997306546994618,0.0,0.17183765033671367
74,1237,1,134.68339999963064,0.9791666907923562,0.9972848977361407,0.0,0.7429468086972664
75,1254,1,136.75000000512227,0.9793476164340973,0.9976346365043095,0.0,0.29863087655347603
76,1271,1,132.24110000010114,0.9793747237750462,0.9972735856260572,0.0,0.186955348635511
77,1287,1,131.92400000116322,0.9787758461066655,0.9969520143100193,0.0,0.06478086294070569
78,1304,1,131.33570000354666,0.9784081705978939,0.9976324268749782,0.0,0.24510989368979377
79,1321,1,132.31870000890922,0.9782193260533469,0.9972042271069118,0.0,0.21590796640554064
80,1338,1,133.9589999988675,0.9783324343817574,0.9975639453956059,0.0,0.5667046849290823
81,1354,1,133.46729999466334,0.9791565750326429,0.9981530138424465,0.0,0.29631809059788744
82,1371,1,133.63009999739006,0.9795293424810682,0.9975387028285435,0.0,0.4474305202437242
83,1388,1,136.35400000202935,0.9802399362836566,0.9982073605060577,0.0,0.32840613849771116
84,1404,1,134.096399997361,0.9791219319616046,0.9970005452632904,0.0,0.37512517855979843
85,1421,1,134.35580000805203,0.9789094839777265,0.9976667165756226,0.0,0.571635256100618
86,1438,1,134.32149999425747,0.9775948652199337,0.997295217854636,0.0,0.09168753913398547
87,1455,1,136.88289999845438,0.9777103534766606,0.9982122949191502,0.0,0.1290089019267545
88,1471,1,136.3868999906117,0.9779849691050393,0.9974478525774819,0.0,0.7166802079397635
89,1488,1,133.8435999932699,0.978186126266207,0.9981853195599147,0.0,0.5860279279749371
90,1505,1,133.02599999587983,0.9786172551768166,0.9980232630457196,0.0,0.20436187109973455
91,1521,1,132.57050000538584,0.9791669973305294,0.9982266298362187,0.0,0.08786488830752993
92,1538,1,131.79429998854175,0.9796697752816337,0.9983171267168862,0.0,0.0436137342127715
93,1555,1,132.87549999949988,0.9802801140717098,0.998292441879,0.0,0.17591092569241024
94,1572,1,134.88899999356363,0.9812122668538775,0.9985307880810329,0.0,0.18455792203913535
95,1588,1,132.34250000095926,0.9818272931235177,0.9986462209905896,0.0,0.2285244994539281
96,1605,1,133.5285999957705,0.9826677782194955,0.9985992099557605,0.0,0.10835750317707754
97,1622,1,133.53219999407884,0.9825678850923266,0.9986438112599509,0.0,0.26764990546194506
98,1638,1,134.85159999981988,0.9823935798236302,0.9973477593490055,0.0,0.5095371205882075
99,1655,1,131.95500000438187,0.9832266271114349,0.998742380312511,0.0,0.13549763427526562
100,1672,1,133.79120000172406,0.983157753944397,0.9980444312095642,0.0,0.11536775206277587
101,1689,1,136.71120000071824,0.9830307109015328,0.9976138728005546,0.0,0.1645837761674963
102,1705,1,133.28690000344068,0.9827977546623775,0.997143200465611,0.0,0.06680280935330538
103,1722,1,131.6374000016367,0.9830862922327859,0.9983385843890054,0.0,0.07497765270652536
104,1739,1,131.7265999969095,0.983686068228313,0.9986441561153957,0.0,0.03994142604576551
105,1755,1,131.2406000070041,0.9841127353055137,0.9985357906137194,0.0,0.1761508230310352
106,1772,1,133.07239999994636,0.9843561521598271,0.9986969573157174,0.0,0.09382667586015497
107,1789,1,133.9367000036873,0.9841291521276746,0.9987439811229706,0.0,0.3496391321384634
108,1806,1,132.3264999955427,0.9835283202784402,0.9981898026806968,0.0,0.4068857193788764
109,1822,1,131.6252000106033,0.9834473431110382,0.9981359158243451,0.0,0.16172915734403623
110,1839,1,132.5210000068182,0.9836516039712089,0.9986399454729897,0.0,0.0826663291051499
111,1856,1,132.69699999364093,0.9834737011364528,0.9982163139751979,0.0,0.5074964149533937
112,1873,1,134.47699999960605,0.98350618992533,0.9984839303152901,0.0,0.08285015508231006
113,1889,1,133.495000001858,0.9836939573287964,0.9981906797204699,0.0,0.15014875217098525
114,1906,1,134.14880000345875,0.9836752542427608,0.9982365497520992,0.0,0.16300278119065664
115,1923,1,133.61249999434222,0.9839773390974317,0.9985933644430978,0.0,0.1620740695939531
116,1939,1,133.17679999454413,0.9839117228984833,0.9984733462333679,0.0,0.11369369128452249
117,1956,1,131.85960000555497,0.9842531595911298,0.9988017507961818,0.0,0.1705390283766488
118,1973,1,134.68669999565464,0.9839345514774323,0.9988589542252677,0.0,0.9017845918070467
119,1990,1,132.65050000336487,0.9837604463100433,0.9984480568340847,0.0,0.3148125785387819
120,2006,1,133.432399990852,0.9833563949380603,0.9981176725455693,0.0,0.17857992635177206
121,2023,1,133.9804000017466,0.9825901133673531,0.9988832729203361,0.0,0.8713685608063658
122,2040,1,133.07379999605473,0.9815952564988818,0.9983444937637874,0.0,0.20485238734365993
123,2056,1,135.20380000409205,0.9819698802062443,0.9988323875835964,0.0,0.20863291633098258
124,2073,1,133.6142999934964,0.9820353601660047,0.9987707138061523,0.0,0.20486150006967363
125,2090,1,132.76930000574794,0.98196741938591,0.9983914707388196,0.0,0.1569160869321641
126,2107,1,132.1305999881588,0.9819738524300712,0.9987181127071381,0.0,0.1569252395297429
127,2123,1,136.68580001103692,0.9811091550758907,0.9986012237412589,0.0,0.3259613100225106
128,2140,1,134.13659999787342,0.9802493878773281,0.9985253214836121,0.0,0.32622423425277736
129,2157,1,133.66669999959413,0.9793267122336796,0.99860908303942,0.0,0.6953745222341722
130,2173,1,132.39700000849552,0.9783172905445099,0.998463681765965,0.0,0.1793514152746702
131,2190,1,131.31670000439044,0.9787256291934422,0.9985435307025909,0.0,0.817971007601444
132,2207,1,131.71200000215322,0.9792342782020569,0.9985280122075763,0.0,0.5378295454287135
133,2224,1,133.1512000033399,0.9795099794864655,0.9987194580691201,0.0,0.46009291597705393
134,2240,1,134.20090000727214,0.9801456672804696,0.9988894420010703,0.0,0.2785747382680879
135,2257,1,134.02730000962038,0.981131340776171,0.9990231777940478,0.0,0.8664117637304815
136,2274,1,135.82090000272729,0.9818181012357984,0.9988133864743369,0.0,0.06832935452043433
137,2290,1,135.19729999825358,0.9824112824031285,0.998617776802608,0.0,0.1258382607128229
138,2307,1,133.7154999928316,0.9829539741788592,0.9989440057958875,0.0,0.12861341921063243
139,2324,1,133.16030001442414,0.9827565721103123,0.9984379666192191,0.0,0.5622896430711729
140,2341,1,135.88600000366569,0.9824625211102622,0.9986789269106728,0.0,0.07567902353792295
141,2357,1,137.43370000156574,0.9822908767632076,0.9984421687466758,0.0,0.39881007071093644
142,2374,1,136.12909999210387,0.9821356875555856,0.9983443702970233,0.0,0.14729850357194946
143,2391,1,132.62180000310764,0.9822827875614166,0.9987185341971261,0.0,0.4873616402650216
144,2408,1,132.96230000560172,0.9821446325097766,0.9984773908342633,0.0,0.0542414383179917
145,2424,1,134.30440000956878,0.9820204547473362,0.9983254330498832,0.0,0.32563600534665704
146,2441,1,132.5988999888068,0.9819852028574262,0.9986712038516998,0.0,0.5332319358829879
147,2458,1,134.8433999955887,0.9823544578892844,0.9985868845667157,0.0,0.059532713791766174
148,2474,1,133.6165999964578,0.9817019104957581,0.998400696686336,0.0,0.1483977617489168
149,2491,1,134.27690000389703,0.981814022575106,0.9985538337911878,0.0,0.3242569651886844
150,2508,1,132.29860000137705,0.9820171807493482,0.9984081132071358,0.0,0.4472185266462441
151,2525,1,132.49800000630785,0.9821537775652749,0.9984870042119708,0.0,0.16265224657670024
152,2541,1,132.50239999615587,0.9825995010989053,0.9985241677079882,0.0,0.07024287228345318
153,2558,1,132.19740000204183,0.9830358667033059,0.9986063156809125,0.0,0.10012903031869892
154,2575,1,133.98910000978503,0.9825654200145176,0.9981966955321175,0.0,0.35256255585974206
155,2591,1,133.4777000010945,0.9828091817242759,0.9984259222234998,0.0,0.09968437090764165
156,2608,1,131.64949999190867,0.9829208297388894,0.9986424020358494,0.0,0.060360076146885294
157,2625,1,133.23960000707302,0.9828828956399646,0.9986510787691388,0.0,0.1396044976679369
158,2642,1,131.47140000364743,0.9832614362239838,0.9986699223518372,0.0,0.040347043358091486
159,2658,1,132.26129999384284,0.9831152260303497,0.9984742956502097,0.0,0.18588030724841012
160,2675,1,131.62479999300558,0.9831260229860034,0.9987196922302246,0.0,0.05359930637721405
161,2692,1,132.3405000002822,0.9831155836582184,0.9988375178405217,0.0,0.10527677123585563
162,2708,1,131.7025000025751,0.9834710189274379,0.998455571276801,0.0,0.366487523205748
163,2725,1,132.07250001141801,0.983378176178251,0.99838758792196,0.0,0.21608225812243714
164,2742,1,132.77919999381993,0.9834156249250684,0.998377765927996,0.0,0.17601059193224275
165,2759,1,134.31300000229385,0.9824032485485077,0.9982235091073173,0.0,0.9344462783180998
166,2775,1,131.62980000197422,0.9822663239070347,0.9986867223467145,0.0,0.030068073622457715
167,2792,1,132.0484000025317,0.9821144725595202,0.9985757895878383,0.0,0.18970302108102904
168,2809,1,132.08180000947323,0.9821735961096627,0.9985264710017613,0.0,0.08778722754402714
