frame_idx,timestamp_ms,landmark_idx,landmark_name,x_m,y_m,z_m,visibility,presence
0,0,11,left_shoulder,0.19198447465896606,-0.41231653094291687,-0.17067764699459076,0.9993427395820618,0.9964136481285095
0,0,12,right_shoulder,-0.14736686646938324,-0.42333582043647766,-0.11213978379964828,0.998429000377655,0.9888701438903809
0,0,23,left_hip,0.10533957183361053,0.018058788031339645,-0.01938222348690033,0.993614673614502,0.9645244479179382
0,0,24,right_hip,-0.10497255623340607,-0.0171714648604393,0.01991954632103443,0.9884257316589355,0.9118759632110596
0,0,13,left_elbow,0.23412932455539703,-0.1503116488456726,-0.1692032516002655,0.9916551113128662,0.9868142604827881
0,0,14,right_elbow,-0.1545390784740448,-0.1955510526895523,-0.009586869738996029,0.7970340251922607,0.9853758215904236
0,0,15,left_wrist,0.2762572765350342,0.13726851344108582,-0.17196345329284668,0.840718686580658,0.804269552230835
0,0,16,right_wrist,-0.22212767601013184,-0.011755280196666718,0.0004526018165051937,0.7293045520782471,0.9141979217529297
0,0,21,left_thumb,0.2635094225406647,0.16405010223388672,-0.17478947341442108,0.8110789656639099,0.5601431727409363
0,0,22,right_thumb,-0.22139769792556763,0.002384386956691742,-0.01587701588869095,0.7304497361183167,0.8079678416252136
0,0,19,left_index,0.27320611476898193,0.24901312589645386,-0.20856384932994843,0.7582740187644958,0.4185939133167267
0,0,20,right_index,-0.2473054677248001,0.0559573695063591,-0.0282451044768095,0.710073709487915,0.7249717116355896
0,0,17,left_pinky,0.30246037244796753,0.22780689597129822,-0.18722499907016754,0.7255703210830688,0.40239647030830383
0,0,18,right_pinky,-0.24788498878479004,0.05752745270729065,0.006851503625512123,0.6704350709915161,0.7682257294654846
1,17,11,left_shoulder,0.19418643414974213,-0.4226406514644623,-0.16511543095111847,0.9993629455566406,0.9984474778175354
1,17,12,right_shoulder,-0.1470431089401245,-0.4234543740749359,-0.11270160228013992,0.9984802007675171,0.9942076206207275
1,17,23,left_hip,0.10669306665658951,0.016319749876856804,-0.017235081642866135,0.993293821811676,0.9520774483680725
1,17,24,right_hip,-0.10651978105306625,-0.01567876525223255,0.018189506605267525,0.9882420301437378,0.9086154103279114
1,17,13,left_elbow,0.24428987503051758,-0.16906766593456268,-0.16498146951198578,0.9915973544120789,0.9894010424613953
1,17,14,right_elbow,-0.1682259738445282,-0.19486959278583527,-0.027075426653027534,0.8077508211135864,0.9920592308044434
1,17,15,left_wrist,0.27776598930358887,0.09680771082639694,-0.175533264875412,0.8439211249351501,0.7968518733978271
1,17,16,right_wrist,-0.22939985990524292,-0.01159780751913786,-0.06677177548408508,0.7405982613563538,0.9105709195137024
1,17,21,left_thumb,0.26360395550727844,0.11935880035161972,-0.18087074160575867,0.814971387386322,0.6072474122047424
1,17,22,right_thumb,-0.2249346822500229,0.0023792332503944635,-0.08756683021783829,0.738494873046875,0.8027467727661133
1,17,19,left_index,0.2680133879184723,0.19857947528362274,-0.223548024892807,0.7635543942451477,0.4747978150844574
1,17,20,right_index,-0.247711181640625,0.05597039312124252,-0.11670434474945068,0.7185986042022705,0.729629635810852
1,17,17,left_pinky,0.30091094970703125,0.18583206832408905,-0.19992251694202423,0.7309215664863586,0.45660826563835144
1,17,18,right_pinky,-0.25457248091697693,0.058525409549474716,-0.07300175726413727,0.6794320344924927,0.7704598307609558
2,33,11,left_shoulder,0.19420300424098969,-0.43144935369491577,-0.164110466837883,0.999412477016449,0.9990556836128235
2,33,12,right_shoulder,-0.14848196506500244,-0.43106552958488464,-0.11275703459978104,0.9986082911491394,0.9977821707725525
2,33,23,left_hip,0.1073755994439125,0.015378747135400772,-0.015053706243634224,0.9933459758758545,0.9634141325950623
2,33,24,right_hip,-0.10736972093582153,-0.014925547875463963,0.01618393324315548,0.9886089563369751,0.9499340057373047
2,33,13,left_elbow,0.24403530359268188,-0.17464947700500488,-0.16787968575954437,0.9916027188301086,0.9877775311470032
2,33,14,right_elbow,-0.1702120006084442,-0.19738340377807617,-0.029109656810760498,0.8211852312088013,0.9958332777023315
2,33,15,left_wrist,0.2761114537715912,0.08312813192605972,-0.20925948023796082,0.8514988422393799,0.8221361041069031
2,33,16,right_wrist,-0.22787892818450928,-0.012890332378447056,-0.08215505629777908,0.7566965818405151,0.959960401058197
2,33,21,left_thumb,0.2601374685764313,0.10563234984874725,-0.21805141866207123,0.8238680958747864,0.6770544648170471
2,33,22,right_thumb,-0.22171947360038757,0.0009437724365852773,-0.10348574072122574,0.7521604299545288,0.9083148241043091
2,33,19,left_index,0.25442931056022644,0.1818573921918869,-0.2692599296569824,0.7758487462997437,0.528308629989624
2,33,20,right_index,-0.24102674424648285,0.05530491843819618,-0.13701261579990387,0.7333686947822571,0.8561192154884338
2,33,17,left_pinky,0.2910582721233368,0.1686636209487915,-0.24337345361709595,0.7442430853843689,0.4852043688297272
2,33,18,right_pinky,-0.25159499049186707,0.05811094120144844,-0.09045559167861938,0.6955243945121765,0.8691138625144958
3,50,11,left_shoulder,0.19315698742866516,-0.4312347173690796,-0.16096577048301697,0.9994478225708008,0.9982505440711975
3,50,12,right_shoulder,-0.14969661831855774,-0.43088605999946594,-0.10994860529899597,0.9986851811408997,0.99346524477005
3,50,23,left_hip,0.10776250064373016,0.014323938637971878,-0.013367237523198128,0.993048369884491,0.9391997456550598
3,50,24,right_hip,-0.10782260447740555,-0.014017125591635704,0.014686182141304016,0.9883289933204651,0.8887346386909485
3,50,13,left_elbow,0.2439125031232834,-0.17543631792068481,-0.16770467162132263,0.9913215637207031,0.9863898158073425
3,50,14,right_elbow,-0.1741851419210434,-0.19913125038146973,-0.016317393630743027,0.8242660164833069,0.9922303557395935
3,50,15,left_wrist,0.27387845516204834,0.08579737693071365,-0.2142183780670166,0.8537845015525818,0.72269207239151
3,50,16,right_wrist,-0.2282126247882843,-0.020528091117739677,-0.061913106590509415,0.7576423287391663,0.9063674211502075
3,50,21,left_thumb,0.2565958499908447,0.10939101129770279,-0.2235308140516281,0.825570821762085,0.5108517408370972
3,50,22,right_thumb,-0.22213152050971985,-0.008034802041947842,-0.08428165316581726,0.7493788003921509,0.7992687821388245
3,50,19,left_index,0.2467184215784073,0.18756526708602905,-0.2745627462863922,0.7799486517906189,0.36651846766471863
3,50,20,right_index,-0.24117796123027802,0.04560094326734543,-0.12221795320510864,0.7305394411087036,0.7168546915054321
3,50,17,left_pinky,0.2842840254306793,0.1728082001209259,-0.24926653504371643,0.7482619285583496,0.3469286262989044
3,50,18,right_pinky,-0.25156447291374207,0.04984522983431816,-0.07077261060476303,0.6919589638710022,0.7514960169792175
4,67,11,left_shoulder,0.1921927034854889,-0.43861570954322815,-0.15132635831832886,0.9994871616363525,0.9990493655204773
4,67,12,right_shoulder,-0.1519801914691925,-0.43481123447418213,-0.09546081721782684,0.9987338185310364,0.9916109442710876
4,67,23,left_hip,0.10791149735450745,0.013626438565552235,-0.013816011138260365,0.9912785887718201,0.86866694688797
4,67,24,right_hip,-0.1080118790268898,-0.013407570309937,0.015191812999546528,0.985272228717804,0.7317195534706116
4,67,13,left_elbow,0.2437572181224823,-0.18910157680511475,-0.16675803065299988,0.9913972616195679,0.9890487194061279
4,67,14,right_elbow,-0.17843711376190186,-0.20244276523590088,-0.01534391101449728,0.8264210224151611,0.9841791987419128
4,67,15,left_wrist,0.26505041122436523,0.0674295499920845,-0.21621088683605194,0.8581173419952393,0.7802655100822449
4,67,16,right_wrist,-0.22819027304649353,-0.02541404962539673,-0.0657060369849205,0.7507873177528381,0.8117657899856567
4,67,21,left_thumb,0.24516448378562927,0.08961579203605652,-0.224825918674469,0.8292021751403809,0.6002621054649353
4,67,22,right_thumb,-0.22199875116348267,-0.013344278559088707,-0.08649563044309616,0.7403947710990906,0.668128252029419
4,67,19,left_index,0.23114576935768127,0.16555169224739075,-0.27434325218200684,0.7868943810462952,0.45840218663215637
4,67,20,right_index,-0.23879802227020264,0.0398029200732708,-0.12143465876579285,0.7215891480445862,0.5785372257232666
4,67,17,left_pinky,0.2721329927444458,0.15454518795013428,-0.24953599274158478,0.7551125288009644,0.4223603904247284
4,67,18,right_pinky,-0.24977467954158783,0.04490628093481064,-0.07475991547107697,0.6813363432884216,0.6045199036598206
5,84,11,left_shoulder,0.1905832290649414,-0.4455837905406952,-0.1516457349061966,0.9995363354682922,0.999876856803894
5,84,12,right_shoulder,-0.15623143315315247,-0.436804860830307,-0.09580705314874649,0.9988495707511902,0.998719334602356
5,84,23,left_hip,0.10949177294969559,0.012815416790544987,-0.013475385494530201,0.9904300570487976,0.913620114326477
5,84,24,right_hip,-0.10984251648187637,-0.012802543118596077,0.014897127635776997,0.9841592311859131,0.8653287887573242
5,84,13,left_elbow,0.24017973244190216,-0.1949726641178131,-0.1728532761335373,0.9919443130493164,0.9944576025009155
5,84,14,right_elbow,-0.1816616952419281,-0.20012177526950836,-0.043416496366262436,0.8403393626213074,0.9927525520324707
5,84,15,left_wrist,0.2326727956533432,0.044886235147714615,-0.24530060589313507,0.8704305291175842,0.9523552656173706
5,84,16,right_wrist,-0.22037142515182495,-0.018010903149843216,-0.14064866304397583,0.767892062664032,0.9277610182762146
5,84,21,left_thumb,0.206496924161911,0.06198683753609657,-0.2532595694065094,0.8432843089103699,0.8986899256706238
5,84,22,right_thumb,-0.20926105976104736,-0.006863798014819622,-0.16229106485843658,0.7560779452323914,0.8544785380363464
5,84,19,left_index,0.17515717446804047,0.13054212927818298,-0.3069066107273102,0.8049650192260742,0.8106474876403809
