frame_idx,timestamp_ms,has_pose,inference_ms,mean_visibility,mean_presence,occluded_frac,wrist_speed_m_s
0,0,1,59.32670000765938,0.7365231808331428,0.6968361661221768,0.24242424242424243,0.0
1,17,1,22.764499997720122,0.7403451141717872,0.7395518471991332,0.24242424242424243,1.2047333133879436
2,33,1,22.875700000440702,0.7372919468942917,0.6311598362993788,0.24242424242424243,2.3918141510696973
3,50,1,22.559700009878725,0.7389114873878884,0.6865134858667399,0.24242424242424243,1.9760701318481317
4,67,1,22.58040000742767,0.7351128128216122,0.5695962838997896,0.24242424242424243,1.01724588578731
5,84,1,25.848699995549396,0.7387228947358601,0.7282396847749073,0.24242424242424243,0.6462879769754475
6,100,1,25.93380000325851,0.7386956834657625,0.6595027839172293,0.24242424242424243,1.8073411707854894
7,117,1,23.257599998032674,0.7400881714667334,0.6448535028083081,0.24242424242424243,1.2372947162945436
8,134,1,23.28470000065863,0.7438654389909722,0.7144843339567271,0.24242424242424243,0.650852775960468
9,150,1,22.573199996259063,0.7494913072071292,0.7501309986903586,0.24242424242424243,0.4151405473905756
10,167,1,22.952100000111386,0.7547043635312355,0.7535410470921885,0.24242424242424243,0.8864116479387
11,184,1,24.03099999355618,0.7565771085069035,0.7073232015369065,0.24242424242424243,0.7298507163226801
12,201,1,22.622500007855706,0.7619830663457061,0.7655742292955631,0.24242424242424243,0.7120112443038445
13,217,1,22.4476000003051,0.76139589274923,0.6759128037021693,0.24242424242424243,0.8964283061945111
14,234,1,22.376100008841604,0.7667515444936175,0.7806497030242374,0.24242424242424243,0.525299095493004
15,251,1,23.813899999368005,0.7692312256179072,0.7524204463768525,0.24242424242424243,0.17695359599728938
16,267,1,22.46910000394564,0.773368956126047,0.7671954888906894,0.24242424242424243,0.30270791672352415
17,284,1,22.46710000326857,0.7758019297863498,0.7586294977897496,0.24242424242424243,0.35885114860307715
18,301,1,22.244299994781613,0.7786099504340779,0.7645689306611364,0.21212121212121213,0.3945031949694167
19,318,1,25.552199993398972,0.7821536720024816,0.7626792612471477,0.21212121212121213,0.20389012907444154
20,334,1,22.55229999718722,0.7863264394303163,0.7813469951718368,0.18181818181818182,0.5431225679496551
21,351,1,22.41370000410825,0.7903661311350085,0.7809812770450882,0.18181818181818182,0.9096442958649215
22,368,1,22.489000009954907,0.7934713260919759,0.7780452686446634,0.18181818181818182,0.24883403505683238
23,385,1,22.09230000153184,0.7963409446405642,0.7709765824926735,0.18181818181818182,0.5235277036717788
24,401,1,23.20049999980256,0.7990761320247795,0.787862403854502,0.18181818181818182,0.5422536251690959
25,418,1,22.763000000850298,0.8008530740485047,0.7755958290742428,0.18181818181818182,0.42827247035374294
26,435,1,22.30529999360442,0.802693525385676,0.7782086967349504,0.18181818181818182,0.39541233179167357
27,451,1,22.232399991480634,0.8035312357048193,0.7760432620504589,0.18181818181818182,0.5778560315279101
28,468,1,22.494700009701774,0.8064071303515723,0.788468215967331,0.18181818181818182,1.3671725267857826
29,485,1,22.677800006931648,0.8073577675403971,0.7816038901042758,0.18181818181818182,1.2773233382812947
30,502,1,22.240300007979386,0.8086472153663635,0.7818925304789887,0.18181818181818182,1.832112580941889
31,518,1,22.310800006380305,0.807800068096681,0.7780455412540698,0.18181818181818182,2.2308771064715534
32,535,1,22.067099998821504,0.8071844792275717,0.7876118417321281,0.18181818181818182,1.0102556905925795
33,552,1,22.38470000156667,0.8058764420901284,0.7826783678240397,0.18181818181818182,2.607227338669312
34,568,1,23.685300009674393,0.804925695513234,0.7836243769323284,0.18181818181818182,1.4277206979207608
35,585,1,22.66339999914635,0.8033811790925084,0.7761395721498764,0.18181818181818182,1.0640163786716539
36,602,1,22.044500001356937,0.8004492754963312,0.7684302909130399,0.18181818181818182,1.7189719210554095
37,619,1,22.94949999486562,0.7989814011662295,0.7765917658354297,0.18181818181818182,1.7328949540434464
38,635,1,22.26780001365114,0.797056010839614,0.7649827225867546,0.18181818181818182,1.0545726000347964
39,652,1,22.390500002074987,0.795208850593278,0.759962991839557,0.18181818181818182,1.2960796130781016
40,669,1,22.215399993001483,0.7947067112633677,0.7719870430953575,0.18181818181818182,2.2355284731195932
41,685,1,22.093799998401664,0.7931041351773522,0.7783182623485724,0.18181818181818182,1.6860400559417332
42,702,1,22.18640000501182,0.7910141020335935,0.7480752070744833,0.21212121212121213,1.8875937547517654
43,719,1,22.18039998842869,0.7881036642374415,0.7341461268564066,0.21212121212121213,1.2379260465577269
44,736,1,22.000800003297627,0.7866369729692285,0.7455131216256907,0.21212121212121213,2.185338226084461
