frame_idx,timestamp_ms,has_pose,inference_ms,mean_visibility_keep,mean_presence_keep,occluded_frac_keep,wrist_speed_m_s
0,0,1,54.814400005852804,0.7626639647143227,0.5013807341456413,0.0,0.0
1,17,1,22.21240001381375,0.7611056736537388,0.5187934679644448,0.0,0.25762645652842514
2,33,1,23.75590000883676,0.7779556597982135,0.851153701543808,0.0,0.29681792875276375
3,50,1,22.091899998486042,0.777177482843399,0.5446194250668798,0.0,0.32065435517734275
4,67,1,22.114000006695278,0.7728648058005742,0.4820338168314525,0.0,0.08966820709771546
5,84,1,22.137799998745322,0.7834377246243613,0.7332916046891894,0.0,0.2625772118829462
6,100,1,22.17130000644829,0.7917568555900029,0.7029084839991161,0.0,0.5381716907695772
7,117,1,22.354900007485412,0.8020107831273761,0.8199703310217176,0.0,0.6399810128947392
8,134,1,22.423700007493608,0.8104507497378758,0.8036474755832127,0.0,0.39060818522772284
9,150,1,21.969500012346543,0.8210307998316628,0.8653340637683868,0.0,0.09100223297639706
10,167,1,23.001299996394664,0.834321494613375,0.9000483155250549,0.0,0.177901309498662
11,184,1,24.47040000697598,0.8452886768749782,0.9307243696280888,0.0,0.8119114061934609
12,201,1,27.125300010084175,0.8575536906719208,0.956117182970047,0.0,0.34531139377560394
13,217,1,22.495600002002902,0.8569433518818447,0.7669545773948941,0.0,0.49293946933186195
14,234,1,23.278799999388866,0.8656067635331836,0.9178637989929744,0.0,0.16742407874265078
15,251,1,23.162199999205768,0.8500274292060307,0.637237474322319,0.0,1.7030217522315587
16,268,1,22.72679998714011,0.8617767904485975,0.9590912163257599,0.0,0.2417369575462731
17,284,1,22.163600006024353,0.8729356782776969,0.9669308066368103,0.0,0.8639611495073557
18,301,1,23.075300006894395,0.8787380542073931,0.9432629219123295,0.0,0.5679287161669725
19,318,1,22.530000002007,0.8860972693988255,0.9647328044686999,0.0,0.08679414085277402
20,334,1,22.452299992437474,0.8958962602274758,0.9954265356063843,0.0,0.30078305481730633
21,351,1,22.368199992342852,0.9007085008280618,0.967517329113824,0.0,0.20948122268303465
22,368,1,22.188800008734688,0.9053056282656533,0.9477588151182447,0.0,0.6505960800203031
23,385,1,22.037600007024594,0.9130292918000903,0.9930373643125806,0.0,0.3899569616811052
24,401,1,21.933600000920705,0.9199152503694806,0.9909547652517047,0.0,0.4521562521711674
25,418,1,22.087500008638017,0.9261434631688255,0.9924641507012504,0.0,0.18362869938022086
26,435,1,22.141699999338016,0.9325408296925681,0.9961876443454197,0.0,0.1069620314221043
27,451,1,22.369600003003143,0.9380783821855273,0.994413822889328,0.0,0.5820904125802694
28,468,1,22.04330000677146,0.9419172363621848,0.9910858401230404,0.0,0.12465145357767067
29,485,1,22.139499997138046,0.9459505251475743,0.9917721578053066,0.0,0.24350618568247168
30,502,1,22.429899996495806,0.9508865858827319,0.9986701692853656,0.0,0.945983198194558
31,518,1,25.635199999669567,0.954544586794717,0.9949423798492977,0.0,0.037395961392295084
32,535,1,22.16900000348687,0.9582648873329163,0.9967418611049652,0.0,0.285366051458728
33,552,1,22.134699989692308,0.9614114889076778,0.995133604322161,0.0,0.23629195989002263
34,568,1,22.679000001517124,0.9643371871539524,0.9959696062973568,0.0,0.4701528228092926
35,585,1,22.007099993061274,0.9664487625871386,0.9927187817437308,0.0,0.4065823302134805
36,602,1,25.234300002921373,0.9680409516607013,0.9896596585001264,0.0,0.07951454618938855
37,619,1,22.226799992495216,0.9701652271406991,0.9950015246868134,0.0,0.20173913794176862
38,635,1,22.232199989957735,0.9714301824569702,0.9916869827679226,0.0,0.1482967436446964
39,652,1,22.273199996561743,0.9728529112679618,0.9935203748089927,0.0,0.09704042899120215
40,669,1,23.05299999716226,0.9736511664731162,0.9916608759335109,0.0,0.25180837720997756
41,685,1,22.73899999272544,0.9747740583760398,0.9922889683927808,0.0,0.3995055813851371
42,702,1,22.155600003316067,0.9761354625225067,0.9955474180834634,0.0,0.09386384927975443
43,719,1,22.16459999908693,0.976449728012085,0.9889377994196755,0.0,0.19190573413793643
44,736,1,22.819699996034615,0.9781943431922367,0.9980851028646741,0.0,0.06160320770593442
45,752,1,22.17640000162646,0.9795041126864297,0.997232471193586,0.0,0.1978400109646433
46,769,1,22.222900006454438,0.9802732127053397,0.9966756531170436,0.0,0.22374691378292916
47,786,1,22.321399999782443,0.9810560601098197,0.9964165219238826,0.0,0.09601836161135859
48,803,1,21.875399994314648,0.9821794629096985,0.9976299277373722,0.0,0.33214199888302925
49,819,1,22.277100011706352,0.9828380175999233,0.9960716494492122,0.0,0.15011459308620745
50,836,1,22.351099993102252,0.9832354996885572,0.9953222615378243,0.0,0.07139002747546878
51,853,1,22.02269999543205,0.9834265581199101,0.9934996494225093,0.0,0.3131913475501087
52,869,1,25.58040000440087,0.9841803354876382,0.9966093174048832,0.0,0.10357651448636575
53,886,1,22.294099995633587,0.9846762503896441,0.9963543202195849,0.0,0.23475028800296063
54,903,1,22.593800007598475,0.9847717242581504,0.9955319549356189,0.0,0.145482317427902
55,920,1,23.10480001324322,0.9852866062096187,0.9968248094831195,0.0,0.2247420367380477
56,936,1,22.238200006540865,0.9858283741133553,0.9974278296743121,0.0,0.06785552462216232
57,953,1,22.182099986821413,0.9861230637345996,0.9972402495997292,0.0,0.12191156129920785
58,970,1,22.316100003081374,0.9865132229668754,0.9970988844122205,0.0,0.16174195788578005
59,986,1,22.163699992233887,0.9870655366352626,0.9981184559209006,0.0,0.1813918131881812
60,1003,1,22.014100002706982,0.9873156504971641,0.9965390307562692,0.0,0.10595799650598992
61,1020,1,22.325500001898035,0.9871753539357867,0.9959808034556252,0.0,0.11109786819207362
62,1037,1,22.199500002898276,0.9871016953672681,0.9959928350789207,0.0,0.02120645006169335
63,1053,1,22.249699992244132,0.9872464750494275,0.996974515063422,0.0,0.4503514475561272
64,1070,1,22.35369999834802,0.9872067400387355,0.9961967468261719,0.0,0.17518123981665365
65,1087,1,22.26169999630656,0.987197356564658,0.9955335089138576,0.0,0.12994556705139423
66,1103,1,24.23619999899529,0.987072080373764,0.9947791738169534,0.0,0.09929722823847517
67,1120,1,22.87369999976363,0.9875195068972451,0.9969856994492667,0.0,0.1342964944158536
