frame_idx,timestamp_ms,landmark_idx,landmark_name,x,y,z,visibility,presence
0,0,11,left_shoulder,0.6589630842208862,0.2759048342704773,-0.861487090587616,0.9989250302314758,0.9951545000076294
0,0,12,right_shoulder,-0.010635972023010254,0.3148795962333679,-0.7305542826652527,0.9966807961463928,0.9751944541931152
0,0,23,left_hip,0.5671698451042175,0.8482735753059387,-0.017442140728235245,0.7268279790878296,0.41646409034729004
0,0,24,right_hip,0.1883758008480072,0.8635473847389221,0.02545883320271969,0.6738970875740051,0.3489641547203064
0,0,13,left_elbow,0.8015134334564209,0.5735281705856323,-0.6182147860527039,0.960563063621521,0.9204817414283752
0,0,14,right_elbow,-0.07856827974319458,0.6196116209030151,-0.41804131865501404,0.9017484784126282,0.8411602973937988
0,0,15,left_wrist,0.8251419067382812,0.8171430230140686,-1.0241591930389404,0.7753223776817322,0.4761561155319214
0,0,16,right_wrist,-0.0930594801902771,0.8573802709579468,-0.678536057472229,0.6357547044754028,0.34693700075149536
0,0,21,left_thumb,0.7838476896286011,0.8821151256561279,-1.105347990989685,0.7507584095001221,0.3749537467956543
0,0,22,right_thumb,-0.015858560800552368,0.9036217331886292,-0.7721285223960876,0.6425636410713196,0.2758704721927643
0,0,19,left_index,0.8160924911499023,0.9103487133979797,-1.3498942852020264,0.7417064905166626,0.33705151081085205
0,0,20,right_index,-0.07512742280960083,0.9370558857917786,-0.9990805387496948,0.6198216676712036,0.24241207540035248
0,0,17,left_pinky,0.8817206621170044,0.9187788367271423,-1.1908918619155884,0.68841153383255,0.2682719826698303
0,0,18,right_pinky,-0.09361204504966736,0.9398781061172485,-0.7999135255813599,0.5643142461776733,0.20025813579559326
1,17,11,left_shoulder,0.6589407324790955,0.27600130438804626,-0.8608390688896179,0.9989994168281555,0.9986100196838379
1,17,12,right_shoulder,-0.010589394718408585,0.3145146071910858,-0.7323184609413147,0.9969140291213989,0.9945382475852966
1,17,23,left_hip,0.5643007755279541,0.8488799333572388,-0.018359985202550888,0.7297827005386353,0.4283989667892456
1,17,24,right_hip,0.18680281937122345,0.8609133362770081,0.026351159438490868,0.6772239208221436,0.376586377620697
1,17,13,left_elbow,0.801480770111084,0.5727242827415466,-0.5778660178184509,0.9620220065116882,0.9435926079750061
1,17,14,right_elbow,-0.08608435839414597,0.6156318187713623,-0.3860377371311188,0.9056587219238281,0.8977810144424438
1,17,15,left_wrist,0.824751079082489,0.8173802495002747,-0.9032505750656128,0.7701815962791443,0.4720383286476135
1,17,16,right_wrist,-0.08731062710285187,0.861847460269928,-0.5219387412071228,0.6347989439964294,0.4221285283565521
1,17,21,left_thumb,0.7822048664093018,0.8817043304443359,-0.9771337509155273,0.7449505925178528,0.35577476024627686
1,17,22,right_thumb,-0.010403047315776348,0.9077537059783936,-0.6078670024871826,0.6403690576553345,0.3234434127807617
1,17,19,left_index,0.8147573471069336,0.9104444980621338,-1.197912573814392,0.7355496287345886,0.31377631425857544
1,17,20,right_index,-0.06808891147375107,0.9405730962753296,-0.8095284700393677,0.6175852417945862,0.28163594007492065
1,17,17,left_pinky,0.8803707957267761,0.918115496635437,-1.0495034456253052,0.6801039576530457,0.23124656081199646
1,17,18,right_pinky,-0.09392847120761871,0.9443978667259216,-0.6178808808326721,0.5613396167755127,0.2235574722290039
2,33,11,left_shoulder,0.6577624082565308,0.27659380435943604,-0.8602485656738281,0.9990758299827576,0.9995418787002563
2,33,12,right_shoulder,-0.014009871520102024,0.31383663415908813,-0.7328511476516724,0.9971534609794617,0.997776448726654
2,33,23,left_hip,0.5609049201011658,0.8497570753097534,-0.02118675410747528,0.7518886923789978,0.8233414888381958
2,33,24,right_hip,0.18487191200256348,0.862816572189331,0.02865292690694332,0.7032825946807861,0.7760465145111084
2,33,13,left_elbow,0.7951780557632446,0.5727034211158752,-0.565260112285614,0.9652124047279358,0.9948059916496277
2,33,14,right_elbow,-0.10552696138620377,0.6111669540405273,-0.38592204451560974,0.9130498766899109,0.9865249395370483
2,33,15,left_wrist,0.8248485326766968,0.8173988461494446,-0.8775435090065002,0.788015604019165,0.9317016005516052
2,33,16,right_wrist,-0.09494896233081818,0.8649303317070007,-0.5409495830535889,0.660264253616333,0.8703535199165344
2,33,21,left_thumb,0.7828309535980225,0.8815631866455078,-0.9503251910209656,0.7632211446762085,0.8589973449707031
2,33,22,right_thumb,-0.028888145461678505,0.9079189896583557,-0.6258237957954407,0.6639564633369446,0.7782242298126221
2,33,19,left_index,0.8147512078285217,0.9103602766990662,-1.1659572124481201,0.7537026405334473,0.8089908957481384
2,33,20,right_index,-0.06924471259117126,0.9405919313430786,-0.8274901509284973,0.641669750213623,0.710297167301178
2,33,17,left_pinky,0.8803700804710388,0.9169118404388428,-1.0127289295196533,0.702003538608551,0.7360754013061523
2,33,18,right_pinky,-0.1076631024479866,0.950999915599823,-0.6396897435188293,0.5888829827308655,0.6434744000434875
3,50,11,left_shoulder,0.6563901305198669,0.27719447016716003,-0.8400809168815613,0.999151349067688,0.999439537525177
3,50,12,right_shoulder,-0.017226599156856537,0.31239840388298035,-0.7480279803276062,0.9973866939544678,0.9973840117454529
3,50,23,left_hip,0.5575757026672363,0.8493676781654358,-0.014584974385797977,0.7509052753448486,0.394138902425766
3,50,24,right_hip,0.1799107939004898,0.8623917102813721,0.02257383242249489,0.7027880549430847,0.3379720449447632
3,50,13,left_elbow,0.7867881655693054,0.5724115967750549,-0.5424189567565918,0.9657275676727295,0.9612209796905518
3,50,14,right_elbow,-0.11896394938230515,0.6108006238937378,-0.3864234983921051,0.9177067875862122,0.9220820069313049
3,50,15,left_wrist,0.8243987560272217,0.816387951374054,-0.8935186266899109,0.7817150354385376,0.5575310587882996
3,50,16,right_wrist,-0.09685356914997101,0.8819626569747925,-0.5477571487426758,0.6635461449623108,0.458015114068985
3,50,21,left_thumb,0.782924473285675,0.8803306221961975,-0.9694332480430603,0.7581773400306702,0.43264082074165344
3,50,22,right_thumb,-0.028871264308691025,0.9175059795379639,-0.6347022652626038,0.66600501537323,0.35346731543540955
3,50,19,left_index,0.8144774436950684,0.9089477062225342,-1.1911262273788452,0.7487069368362427,0.3854217529296875
3,50,20,right_index,-0.07130862772464752,0.9436267614364624,-0.8399678468704224,0.6440057754516602,0.3014293313026428
3,50,17,left_pinky,0.8799805641174316,0.9154995679855347,-1.0363423824310303,0.6944395303726196,0.2878832519054413
3,50,18,right_pinky,-0.11338107287883759,0.9752433896064758,-0.6472073197364807,0.5902232527732849,0.23604582250118256
4,67,11,left_shoulder,0.6549915671348572,0.27815377712249756,-0.8162805438041687,0.9992033243179321,0.998496413230896
4,67,12,right_shoulder,-0.021248213946819305,0.31147995591163635,-0.7449200749397278,0.9975569844245911,0.9943265318870544
4,67,23,left_hip,0.5524997711181641,0.8497063517570496,-0.013912977650761604,0.7431307435035706,0.300886332988739
4,67,24,right_hip,0.17105771601200104,0.861962616443634,0.022051572799682617,0.694937527179718,0.2597599923610687
4,67,13,left_elbow,0.7825237512588501,0.5724087953567505,-0.5348491668701172,0.9651696085929871,0.9212749004364014
4,67,14,right_elbow,-0.12886066734790802,0.6098299622535706,-0.3875811696052551,0.9207639694213867,0.8721210360527039
4,67,15,left_wrist,0.8241288065910339,0.8159416317939758,-0.9050823450088501,0.7707497477531433,0.413838654756546
4,67,16,right_wrist,-0.09806231409311295,0.8804842829704285,-0.6005384922027588,0.6640169024467468,0.3792334496974945
4,67,21,left_thumb,0.7828878164291382,0.8794463276863098,-0.9798480868339539,0.7477732300758362,0.3230437934398651
4,67,22,right_thumb,-0.028793368488550186,0.917247474193573,-0.6873932480812073,0.6645047664642334,0.30172720551490784
4,67,19,left_index,0.81371009349823,0.9086577296257019,-1.2014262676239014,0.7388232350349426,0.2927601933479309
4,67,20,right_index,-0.06249608099460602,0.9437708258628845,-0.9069767594337463,0.64335036277771,0.2664591372013092
4,67,17,left_pinky,0.8794418573379517,0.9146088361740112,-1.050761342048645,0.681722104549408,0.21467018127441406
4,67,18,right_pinky,-0.11797778308391571,0.9735510945320129,-0.7196906208992004,0.5884047746658325,0.20987561345100403
5,84,11,left_shoulder,0.6498996019363403,0.2786370515823364,-0.8194800019264221,0.9992659091949463,0.99965500831604
5,84,12,right_shoulder,-0.0278230719268322,0.30894699692726135,-0.74635910987854,0.997753381729126,0.998298704624176
5,84,23,left_hip,0.5466597676277161,0.8497188687324524,-0.014265671372413635,0.7559285759925842,0.6558526158332825
5,84,24,right_hip,0.16036084294319153,0.8623300790786743,0.022359699010849,0.7107682824134827,0.5975036025047302
5,84,13,left_elbow,0.7656883597373962,0.572393536567688,-0.5403525829315186,0.9675353169441223,0.9886435866355896
5,84,14,right_elbow,-0.13713377714157104,0.6072319746017456,-0.391000360250473,0.9263019561767578,0.9724741578102112
5,84,15,left_wrist,0.8240945935249329,0.8159778714179993,-0.9063924551010132,0.7825112342834473,0.8243017196655273
5,84,16,right_wrist,-0.10579636693000793,0.8828116655349731,-0.6032397150993347,0.6806392669677734,0.7376754283905029
5,84,21,left_thumb,0.7833104133605957,0.8795129060745239,-0.9823018312454224,0.759282648563385,0.7036880254745483
5,84,22,right_thumb,-0.035513829439878464,0.9169816374778748,-0.6909962892532349,0.6794474720954895,0.6209672689437866
5,84,19,left_index,0.8146427273750305,0.9087054133415222,-1.2027097940444946,0.7502313256263733,0.6367693543434143
5,84,20,right_index,-0.07945670187473297,0.9437354803085327,-0.9071143269538879,0.6586602926254272,0.5460307002067566
5,84,17,left_pinky,0.8791477680206299,0.9143445491790771,-1.0476865768432617,0.694604218006134,0.525585412979126
5,84,18,right_pinky,-0.12749405205249786,0.9775453209877014,-0.7201195955276489,0.6051982641220093,0.4586368799209595
6,100,11,left_shoulder,0.6440795063972473,0.2787931263446808,-0.8413177728652954,0.9993202686309814,0.9994913339614868
6,100,12,right_shoulder,-0.03153764456510544,0.3080957531929016,-0.8251418471336365,0.9979267716407776,0.9976686835289001
6,100,23,left_hip,0.5405977368354797,0.8500761389732361,-0.010463572107255459,0.7691513299942017,0.6317830681800842
6,100,24,right_hip,0.16001899540424347,0.8642476797103882,0.018305975943803787,0.7267898321151733,0.5700422525405884
6,100,13,left_elbow,0.7566723227500916,0.5724025368690491,-0.5759962797164917,0.9690085649490356,0.9815913438796997
