frame_idx,timestamp_ms,has_pose,inference_ms,mean_visibility,mean_presence,occluded_frac,wrist_speed_m_s
0,0,1,172.38400000496767,0.5048773402178829,0.5917311797878055,0.5151515151515151,0.0
1,17,1,140.03880000382196,0.49835805668298044,0.44587153755128384,0.5151515151515151,2.6436267910320144
2,33,1,149.1365000110818,0.4913166952178334,0.3948078981713589,0.5151515151515151,1.720439896754944
3,50,1,139.08139998966362,0.4983008099211888,0.605118116780156,0.5151515151515151,1.1173513073418537
4,67,1,137.32140000502113,0.5052687717093662,0.5556120651520111,0.5151515151515151,0.3636310443381726
5,83,1,138.46750000084285,0.5076572707656658,0.5450481126564696,0.5151515151515151,0.2317648384838196
6,100,1,138.64999999350403,0.5144283259569695,0.5806672363118692,0.5151515151515151,0.6302292646317726
7,117,1,140.05820000602398,0.520597762456446,0.5570876235565678,0.5151515151515151,0.5041681082835934
8,133,1,137.05380000465084,0.5331821364886833,0.6740338271413224,0.5151515151515151,0.4394701180742567
9,150,1,141.49219999671914,0.5477421228971445,0.6574391209322846,0.5151515151515151,0.8588242683194641
10,167,1,137.9261999973096,0.5613651132267533,0.6768132593398067,0.45454545454545453,0.1387297535929247
11,183,1,137.64669999363832,0.5731079598719423,0.7042639331581692,0.42424242424242425,0.609652237223579
12,200,1,138.21140000072774,0.5897099242517443,0.7292190373197875,0.36363636363636365,0.5705728658566176
13,217,1,140.73590000043623,0.6043713938896403,0.7213349315112062,0.30303030303030304,0.7828593143373547
14,233,1,137.7896000049077,0.6119840700518001,0.7159603079498718,0.2727272727272727,0.9528466722560752
15,250,1,139.0323000086937,0.6261557950214907,0.7347137384031984,0.24242424242424243,0.4572487427341168
16,267,1,139.1347000026144,0.6401713054740068,0.7540694227103483,0.24242424242424243,1.2560436607222145
17,283,1,137.1192000078736,0.651377634568648,0.7487930993577747,0.24242424242424243,0.41146738759731044
18,300,1,145.52189999085385,0.6615078550848094,0.7547479574004132,0.24242424242424243,0.1252428356992869
