frame_idx,timestamp_ms,has_pose,inference_ms,mean_visibility,mean_presence,occluded_frac,wrist_speed_m_s
0,0,1,176.71660000632983,0.5354957958739816,0.5687857409092513,0.5151515151515151,0.0
1,17,1,144.69640000606887,0.5209032775777759,0.31235528505887045,0.5151515151515151,0.9103858218075861
2,33,1,145.8718000067165,0.5099020160057328,0.32740873063096043,0.5151515151515151,0.4942103496316371
3,50,1,143.6974999960512,0.4849701907598611,0.20548620242907695,0.5151515151515151,1.0368078843711532
4,67,1,142.35330000519753,0.478093957246253,0.40785631576948095,0.5151515151515151,1.8581674435780855
5,84,1,149.68700001190882,0.4656793588038647,0.3376437968320467,0.5151515151515151,0.46002711982198674
6,100,1,141.14550000522286,0.45638618697271205,0.36076223460788076,0.5151515151515151,0.5283144505660423
7,117,1,141.8649999977788,0.4579021225147175,0.43122718085280876,0.5151515151515151,0.493048263408752
8,134,1,143.63379999122117,0.4579837970209844,0.4541705251304489,0.5151515151515151,8.521050738360017
9,150,1,145.23819999885745,0.44829530878500506,0.36005221417343075,0.5151515151515151,4.1289152064382995
10,167,1,140.00339999620337,0.4434068789987853,0.3761552958325906,0.5151515151515151,4.195527065961993
11,184,1,141.46689999324735,0.452602459174214,0.47199427480386064,0.5151515151515151,1.5037306694622194
12,200,1,141.56960000400431,0.43853112174706027,0.35252408344637265,0.5151515151515151,5.164106506341703
13,217,1,139.7107000084361,0.443258739556327,0.46309897029828845,0.5151515151515151,0.8856450644420248
14,234,1,140.57150000007823,0.44660757143389096,0.45658208175816317,0.5151515151515151,1.7526871450629875
15,251,1,148.77139999589417,0.4436785146368272,0.3961987049798622,0.5454545454545454,2.409845551435005
16,267,1,142.51610000792425,0.4474612462588332,0.41773625336248765,0.5151515151515151,0.5399413151958905
17,284,1,140.69330001075286,0.4625867967578498,0.5182796481319449,0.48484848484848486,1.1611162193208098
18,301,1,143.96280000801198,0.47168566145454394,0.5168405897689589,0.45454545454545453,0.9707017288870124
19,317,1,142.85850001033396,0.4771786555083412,0.45327431886372244,0.3939393939393939,1.7000972523477058
20,334,1,142.63810000556987,0.49036192284388974,0.5929501739076593,0.3939393939393939,0.8906010941811426
21,351,1,142.19199999934062,0.5001639941086372,0.4671668281609362,0.3939393939393939,0.4149437878284757
22,367,1,142.78290000220295,0.5136626138154304,0.5683822215845188,0.3939393939393939,1.07127316306343
23,384,1,147.61250000447035,0.5163653387942098,0.426311024972661,0.3939393939393939,0.5495999561441668
24,401,1,166.87739999906626,0.5088467328160098,0.35191255133373267,0.3939393939393939,0.8904342395723611
25,418,1,148.78220000537112,0.5173994293154189,0.4921978624029593,0.3939393939393939,0.35692214524032567
26,434,1,142.64750000438653,0.5224828218307459,0.4933226867720033,0.3939393939393939,0.27379879507969845
27,451,1,146.04289999988396,0.515731227104411,0.4215336577176596,0.3939393939393939,0.28878401882496213
28,468,1,141.03450000402518,0.5126745067536831,0.4699383351782506,0.3939393939393939,0.5504903841460499
29,484,1,141.38420000381302,0.5213993322668653,0.6212621389352011,0.3939393939393939,0.7934683526307348
30,501,1,143.66169999993872,0.5288694610988552,0.6023242123086344,0.3939393939393939,0.11777567252690223
31,518,1,143.13049998600036,0.533452868969603,0.5964623708842378,0.3939393939393939,0.323046675493221
32,534,1,142.28909999656025,0.5432625902873097,0.7189159344768885,0.3939393939393939,1.0709308991771571
33,551,1,145.835100003751,0.5461857422170314,0.6265918259424242,0.3939393939393939,0.22074404893247038
34,568,1,145.79170000797603,0.5572428873768358,0.7365319229041537,0.3939393939393939,0.3646999501702734
35,585,1,140.64779999898747,0.5710002095297431,0.7072294600533716,0.36363636363636365,0.389483986867397
36,601,1,149.70710000488907,0.5810109729116614,0.7462850479183324,0.36363636363636365,1.107095460432195
37,618,1,144.97740000660997,0.5904404876584356,0.7333306203116522,0.36363636363636365,0.699911900733925
38,635,1,145.64989999053068,0.6041535130617294,0.7105531267624235,0.36363636363636365,0.5924886244943933
39,651,1,141.44749999104533,0.6205032825131308,0.767082990006064,0.36363636363636365,0.29145039600359574
40,668,1,145.47080000920687,0.6352032743055712,0.761936961955419,0.36363636363636365,1.1175480306695802
41,685,1,141.29179999872576,0.6456045240841128,0.7638677465306087,0.36363636363636365,0.6762900601663061
42,701,1,146.70370001113042,0.6549755977184484,0.7568433258936487,0.30303030303030304,0.45282078432382816
43,718,1,142.00300000084098,0.6646848781542345,0.7667852143164385,0.24242424242424243,1.2867628157362327
44,735,1,144.52119999623392,0.6749472529486273,0.763466918939781,0.24242424242424243,2.3326336216891197
45,752,1,144.5564000023296,0.6836454423539566,0.7582254507014472,0.24242424242424243,0.41677296110484974
46,768,1,143.97450000979006,0.6933163123939073,0.7666734512330908,0.24242424242424243,0.21759423346772827
47,785,1,140.61010000295937,0.7017989894657424,0.7680891059959928,0.24242424242424243,0.4991663579339481
48,802,1,146.0810999997193,0.7102396334662582,0.7707237761298363,0.24242424242424243,0.09048434267287021
49,818,1,142.17490000010002,0.7143304811395479,0.7581940514712848,0.24242424242424243,0.3534936453742501
50,835,1,141.2756000063382,0.719618497698596,0.758471265392886,0.24242424242424243,0.19011260578600161
51,852,1,143.29790000920184,0.7227491111014829,0.7601341530680656,0.24242424242424243,0.4521707988575822
52,868,1,142.52190000843257,0.725872388843334,0.758681422395801,0.24242424242424243,0.16709450212421365
53,885,1,138.61670000187587,0.7299092110020645,0.7701315771167477,0.24242424242424243,0.2399317971739274
54,902,1,148.42199999839067,0.734027227725495,0.7718775323168798,0.24242424242424243,0.2832011013885886
55,919,1,147.83889999671374,0.7365190332586115,0.7614115982203546,0.24242424242424243,0.8267034921812902
56,935,1,140.79819999460597,0.738104811502677,0.7678192930126732,0.24242424242424243,0.5737156187510548
57,952,1,143.17330000631046,0.7406396454933918,0.7836343315853314,0.24242424242424243,0.3042670104373363
58,969,1,141.83919999049976,0.7435016038291382,0.784075669774955,0.24242424242424243,0.41901238197278573
59,985,1,142.6214999955846,0.7458232380449772,0.790576056661931,0.24242424242424243,0.28877846449305483
60,1002,1,142.6086999999825,0.7473377410999753,0.7921644757417116,0.24242424242424243,0.3909454312033883
61,1019,1,142.19900000898633,0.7504954413143974,0.8114481338045814,0.24242424242424243,0.2394332425864711
62,1035,1,142.66199999838136,0.7536731546349598,0.7978408386874379,0.24242424242424243,0.47956282496537306
63,1052,1,141.55480000772513,0.7561290302511418,0.8152287662255041,0.24242424242424243,0.25199050200400863
64,1069,1,144.99999998952262,0.7588477957655083,0.7913473196553461,0.24242424242424243,0.56981564261917
65,1086,1,160.77330001280643,0.7606209494512189,0.8082380425749403,0.24242424242424243,0.5378925898112642
66,1102,1,149.68380000209436,0.7633448323855797,0.7985988793838205,0.24242424242424243,0.29420005671739424
67,1119,1,142.9167000023881,0.7650639774898688,0.8188124346462163,0.24242424242424243,0.31946622721629014
68,1136,1,140.84639999782667,0.7658122288571163,0.8010430419535348,0.24242424242424243,0.5603528917549101
69,1152,1,143.15150000038557,0.7661669040381005,0.7985004358219377,0.24242424242424243,0.5799733426878598
70,1169,1,147.76700000220444,0.7676564985039559,0.7960717914569558,0.24242424242424243,0.2998647184948392
71,1186,1,142.01379999576602,0.7693130112620015,0.7993918364359573,0.24242424242424243,0.20386347263958327
72,1202,1,142.49469999049325,0.7711724333577987,0.7976071266739657,0.24242424242424243,0.2703316459199329
73,1219,1,147.80219999374822,0.7726700298601028,0.7957320177758281,0.24242424242424243,0.604095277548812
74,1236,1,184.51490000006743,0.7739886548370123,0.7950437236012835,0.24242424242424243,0.8079423083785565
75,1253,1,142.1264000091469,0.7746296521614898,0.7945957816572804,0.24242424242424243,0.7424222281490186
76,1269,1,145.83540000603534,0.7748536254759087,0.7964745237294472,0.24242424242424243,1.0772896763720083
77,1286,1,145.4264000058174,0.7768424942976597,0.8043818464784911,0.24242424242424243,0.09463174066932806
78,1303,1,186.8862999981502,0.7785727695533724,0.806514404036782,0.24242424242424243,0.2051279126416207
79,1319,1,142.42869999725372,0.7797764692681305,0.8010571995242075,0.24242424242424243,0.15844952652256125
80,1336,1,143.54509999975562,0.7818896897475828,0.8260520792594461,0.24242424242424243,0.13087795465644253
81,1353,1,142.39389999420382,0.7832587454468012,0.79929520381671,0.24242424242424243,0.19236793076909725
82,1369,1,144.0472999966005,0.7839469491983905,0.8036286399671526,0.24242424242424243,0.1963597698501352
83,1386,1,143.0899999977555,0.7848450800008846,0.8045914493726961,0.24242424242424243,0.14682800816010685
84,1403,1,142.34410000790376,0.7859884456477382,0.813891053764206,0.24242424242424243,0.16307330662508923
85,1420,1,140.74519999849144,0.7892716566495823,0.830243934284557,0.24242424242424243,0.18775487972365731
86,1436,1,144.44940000248607,0.7910880382088098,0.8323661077654723,0.24242424242424243,0.22328722106322663
87,1453,1,143.6144999897806,0.7931729673661969,0.8337526500902392,0.24242424242424243,0.25666267593576136
88,1470,1,144.32490000035614,0.796351337636059,0.849558631353306,0.24242424242424243,0.152917372715466
89,1486,1,149.65619999566115,0.7987577435419415,0.8359011285232775,0.21212121212121213,0.2044306154362214
90,1503,1,143.86289998947177,0.8032528855132334,0.8366818247419415,0.18181818181818182,0.18221504078727044
91,1520,1,143.1585999962408,0.8068758398294449,0.8384662640817238,0.18181818181818182,0.3416465055856145
92,1536,1,144.2411999887554,0.8076739286382993,0.8403614158883239,0.18181818181818182,0.18440456409871817
93,1553,1,145.02290000382345,0.8129740170005596,0.8607037920843471,0.18181818181818182,0.27428845511798616
94,1570,1,149.8651999863796,0.8199814819928372,0.8768820785211794,0.18181818181818182,0.22697336362275963
95,1587,1,143.25359999202192,0.8227893077965939,0.866796847094189,0.18181818181818182,0.23777427853825167
96,1603,1,142.8491000115173,0.8233985200975881,0.8509159704500978,0.18181818181818182,0.3597030714224847
97,1620,1,146.6699000011431,0.8233649613279285,0.8496645932847803,0.18181818181818182,0.15542021507128528
98,1637,1,143.76890000130516,0.8257468871094964,0.8698546177510059,0.18181818181818182,0.3144068659882824
99,1653,1,146.79749999777414,0.824489947069775,0.8587684407830238,0.18181818181818182,1.492105609644808
100,1670,1,143.90560000902042,0.8252151563312068,0.8667364653312799,0.18181818181818182,0.1979553364973555
101,1687,1,145.98809999006335,0.8235233588652178,0.8362286564978686,0.18181818181818182,0.3015852687628374
102,1703,1,146.29420000710525,0.8234737014228647,0.8456753623304945,0.18181818181818182,0.10159479378530316
103,1720,1,143.97449999523815,0.825133920618982,0.8882108502315752,0.18181818181818182,0.5493124551129498
104,1737,1,145.9896000014851,0.824872457168319,0.859867555625511,0.18181818181818182,0.26846518437179884
105,1754,1,143.49770000262652,0.824981130433805,0.8570367720994082,0.18181818181818182,0.14676891083186197
106,1770,1,148.59919999435078,0.821570821332209,0.8504619679667733,0.18181818181818182,0.055601365515255116
107,1787,1,146.33000000321772,0.8227338154207576,0.8569585947376309,0.18181818181818182,0.11391409966597116
108,1804,1,144.1110000014305,0.8251252702691338,0.8623904831933252,0.18181818181818182,0.12248548906809499
109,1820,1,146.88860000751447,0.8250243618632808,0.8639762166774634,0.18181818181818182,0.39149566636749933
110,1837,1,145.38630000606645,0.8258325683348107,0.8715457460193923,0.18181818181818182,0.11761849914001501
111,1854,1,139.36279999325052,0.8267278377756928,0.8658590574156154,0.18181818181818182,0.13623044686495664
112,1870,1,155.16619999834802,0.8268531434463732,0.870402218265967,0.18181818181818182,0.1638548051332553
