frame_idx,timestamp_ms,landmark_idx,landmark_name,x_m,y_m,z_m,visibility,presence
0,0,11,left_shoulder,0.11658462136983871,-0.48461952805519104,-0.19429971277713776,0.9967328310012817,0.9813224077224731
0,0,12,right_shoulder,-0.1984483003616333,-0.43652552366256714,-0.19742587208747864,0.9960910677909851,0.9575418829917908
0,0,23,left_hip,0.0986218973994255,-0.02012384869158268,-0.0010963701643049717,0.9183579087257385,0.8063778877258301
0,0,24,right_hip,-0.0992741584777832,0.01783008687198162,0.001245751860551536,0.9273826479911804,0.7838296890258789
0,0,13,left_elbow,0.1988694965839386,-0.28018075227737427,-0.1352408230304718,0.9070567488670349,0.9241977334022522
0,0,14,right_elbow,-0.24767452478408813,-0.21604469418525696,-0.14241184294223785,0.8614785671234131,0.855861485004425
0,0,15,left_wrist,0.15235115587711334,-0.09536446630954742,-0.16268059611320496,0.6216461658477783,0.5972250699996948
0,0,16,right_wrist,-0.21714356541633606,-0.02643260918557644,-0.16339939832687378,0.4946213662624359,0.39652910828590393
0,0,21,left_thumb,0.13086050748825073,-0.08730616420507431,-0.17430379986763,0.5772097110748291,0.4926703870296478
0,0,22,right_thumb,-0.2035747766494751,-0.017376093193888664,-0.16966460645198822,0.5011609196662903,0.3231373429298401
0,0,19,left_index,0.10124966502189636,-0.05513741821050644,-0.20756399631500244,0.5463944673538208,0.4469907879829407
0,0,20,right_index,-0.19657079875469208,0.0111238993704319,-0.1958497017621994,0.4694439172744751,0.2730239927768707
0,0,17,left_pinky,0.1382352113723755,-0.04319366067647934,-0.18266640603542328,0.5223991274833679,0.3830610513687134
0,0,18,right_pinky,-0.21691831946372986,0.022262128069996834,-0.18286611139774323,0.4450896978378296,0.23174262046813965
1,17,11,left_shoulder,0.12376462668180466,-0.46918922662734985,-0.18986384570598602,0.9965431094169617,0.9459043741226196
1,17,12,right_shoulder,-0.18928568065166473,-0.4372917711734772,-0.17910777032375336,0.9951843023300171,0.8074526786804199
1,17,23,left_hip,0.099776990711689,-0.017747916281223297,-0.001341184601187706,0.8811141848564148,0.22283610701560974
1,17,24,right_hip,-0.09969784319400787,0.014268786646425724,0.0017674604896456003,0.8876944780349731,0.2048531323671341
1,17,13,left_elbow,0.20277124643325806,-0.26568296551704407,-0.13718535006046295,0.8960175514221191,0.5411463379859924
1,17,14,right_elbow,-0.23894238471984863,-0.22143717110157013,-0.1285938173532486,0.8354517817497253,0.39897778630256653
1,17,15,left_wrist,0.15220710635185242,-0.06661082804203033,-0.19047825038433075,0.5959807634353638,0.15918272733688354
1,17,16,right_wrist,-0.21009494364261627,-0.04705294221639633,-0.1620715856552124,0.46949052810668945,0.07964364439249039
