video,model,running_mode,delegate,frames_total,frames_processed,stride,fps_src,detection_rate,mean_inference_ms,p50_inference_ms,p95_inference_ms,effective_fps,mean_visibility,mean_presence,occluded_frac_mean,tracking_loss_events,longest_loss_streak_frames,jitter_world_m_mean,jitter_world_m_p95,wrist_speed_m_s_mean,wrist_speed_m_s_p95
fast.mp4,pose_landmarker_full,VIDEO,CPU,1928,1928,1,59.81385729058945,1.0,34.84512162854928,34.446049998223316,37.99753500279621,19.071392455897822,0.946684405182398,0.9433870194771043,0.03398088771532755,0,0,0.0034858295418937987,0.00938107156303421,1.4126576370563455,3.2830794726787507
fast.mp4,pose_landmarker_heavy,VIDEO,CPU,1928,1928,1,59.81385729058945,1.0,135.95630290441312,135.12199999240693,142.36305999802423,6.4447117413894714,0.9072405402894358,0.9607616089174841,0.05122280900289198,0,0,0.003436883176070866,0.009782860852701311,1.3247921436107206,2.909364936984909
fast.mp4,pose_landmarker_lite,VIDEO,CPU,1928,1928,1,59.81385729058945,1.0,22.988512707671358,22.620700001425575,25.772274999326324,23.462467309488066,0.9498459797517969,0.9460035175477685,0.02436187602162706,0,0,0.0027857254544525843,0.007027457177150962,1.2520635011893346,2.8417054310181347
front_stay.mp4,pose_landmarker_full,VIDEO,CPU,1918,1918,1,59.812931263292626,1.0,35.96561204385798,35.30254999350291,39.24990499654086,16.980964728093035,0.816991198296477,0.7766629682323353,0.18568900685689008,0,0,0.0010361753730654929,0.0032609222954210863,0.17590418426569215,0.5318156649957443
front_stay.mp4,pose_landmarker_heavy,VIDEO,CPU,1918,1918,1,59.812931263292626,1.0,141.0114277373533,139.1460000013467,152.18405000123312,6.211077560324947,0.7901901705141688,0.805739183709945,0.21591304073055895,0,0,0.0010303963175034973,0.0030862466546103828,0.2088615826430316,0.6262550759643745
front_stay.mp4,pose_landmarker_lite,VIDEO,CPU,1918,1918,1,59.812931263292626,1.0,24.12436225236088,23.25524999469053,28.257399996800807,20.947388272040023,0.9032067189932571,0.8073649936205622,0.08343602869150313,0,0,0.0017522659185845973,0.005449280064112859,0.17106009391941532,0.4424515119988901
side_stay.mp4,pose_landmarker_full,VIDEO,CPU,1927,1927,1,60.0,1.0,39.185700000031886,37.93599999335129,47.962950005603474,16.017814629402277,0.6926116425477145,0.7921015733312495,0.34121180670220624,0,0,0.0026021646161749003,0.006996068236961689,0.31282883137817014,0.8773298120734545
side_stay.mp4,pose_landmarker_heavy,VIDEO,CPU,1927,1927,1,60.0,1.0,148.9296882720617,145.4826000117464,168.0618200058234,5.862810248699475,0.6401268475005045,0.8229928473938086,0.3758707993269488,0,0,0.001363150850073276,0.0039563591659337455,0.2826468457361901,0.7508801293277363
side_stay.mp4,pose_landmarker_lite,VIDEO,CPU,1927,1927,1,60.0,1.0,25.444796730601215,24.519900005543604,30.164839998178643,22.220834339378378,0.7396952726946797,0.7913517955341566,0.2987529681873221,0,0,0.001772396311011191,0.004849144630164139,0.2346391633665652,0.6927149086293406
slow.mp4,pose_landmarker_full,VIDEO,CPU,1953,1953,1,59.8773633111906,1.0,38.65770942136948,37.85330000391696,43.25583999452647,17.295391244224586,0.9205092988373238,0.8971175382488674,0.04765007990814442,0,0,0.002719399373037545,0.007808898994663278,0.7564402006738714,1.923450287227717
slow.mp4,pose_landmarker_heavy,VIDEO,CPU,1953,1953,1,59.8773633111906,1.0,143.98972770106698,142.6772999984678,151.27198000554927,6.060038279334868,0.8836562164796685,0.926655963009195,0.08479572995702027,0,0,0.002182933457101078,0.005951411617546299,0.6917210836107008,1.6749841062815713
slow.mp4,pose_landmarker_lite,VIDEO,CPU,1953,1953,1,59.8773633111906,1.0,24.65561454162924,23.940900005982257,27.95022000209428,22.0382587692951,0.928296931962286,0.9054420831227463,0.033173517044484784,0,0,0.0019674576952016113,0.005193486274619303,0.5805365371581248,1.4303970842919884
