frame_idx,timestamp_ms,landmark_idx,landmark_name,x_m,y_m,z_m,visibility,presence
0,0,11,left_shoulder,0.12211363762617111,-0.4329819679260254,-0.2393556386232376,0.9988288283348083,0.9985005855560303
0,0,12,right_shoulder,-0.17845779657363892,-0.4052444100379944,-0.16522304713726044,0.996880054473877,0.9948628544807434
0,0,23,left_hip,0.1044054627418518,-0.008662214502692223,-0.028666479513049126,0.9666564464569092,0.862929105758667
0,0,24,right_hip,-0.10321067273616791,0.009870071895420551,0.02843262255191803,0.9638744592666626,0.856531023979187
0,0,13,left_elbow,0.17606055736541748,-0.176780566573143,-0.2277330458164215,0.9987627267837524,0.9988430738449097
0,0,14,right_elbow,-0.17401504516601562,-0.18392878770828247,-0.13785968720912933,0.9583496451377869,0.9979304075241089
0,0,15,left_wrist,0.20471905171871185,0.04580967128276825,-0.28421562910079956,0.989364504814148,0.9653216004371643
0,0,16,right_wrist,-0.22355438768863678,-0.021294157952070236,-0.21817925572395325,0.8942018151283264,0.969184160232544
0,0,21,left_thumb,0.19389759004116058,0.06976713240146637,-0.29442068934440613,0.9809945225715637,0.8894256949424744
0,0,22,right_thumb,-0.21118780970573425,-0.010917466133832932,-0.22951768338680267,0.9052761793136597,0.9179325103759766
0,0,19,left_index,0.1880323439836502,0.13143490254878998,-0.3177777826786041,0.9740006923675537,0.809531033039093
0,0,20,right_index,-0.21332746744155884,0.023213587701320648,-0.253979355096817,0.8783297538757324,0.857819139957428
0,0,17,left_pinky,0.22180500626564026,0.10973268747329712,-0.30578771233558655,0.969595193862915,0.7139549255371094
0,0,18,right_pinky,-0.23807264864444733,0.02485017105937004,-0.23469038307666779,0.8643097877502441,0.8079148530960083
1,17,11,left_shoulder,0.12236092239618301,-0.44077154994010925,-0.23757049441337585,0.9988305568695068,0.9957452416419983
1,17,12,right_shoulder,-0.1814975142478943,-0.4247359335422516,-0.15108981728553772,0.9970554709434509,0.9954635500907898
1,17,23,left_hip,0.1041361391544342,-0.008660550229251385,-0.02848857082426548,0.9577930569648743,0.6696679592132568
1,17,24,right_hip,-0.10315727442502975,0.00942674558609724,0.028333866968750954,0.9559496641159058,0.6825706958770752
1,17,13,left_elbow,0.19724583625793457,-0.21023410558700562,-0.22972600162029266,0.9981027841567993,0.9720287322998047
1,17,14,right_elbow,-0.18945281207561493,-0.20144760608673096,-0.12049099057912827,0.9464436173439026,0.9769819378852844
1,17,15,left_wrist,0.21647052466869354,0.009643692523241043,-0.2814997732639313,0.9772928953170776,0.6337462067604065
1,17,16,right_wrist,-0.22888506948947906,-0.026812046766281128,-0.1851860135793686,0.8586737513542175,0.7733795046806335
1,17,21,left_thumb,0.2003568410873413,0.03350965306162834,-0.29387935996055603,0.9629762768745422,0.4581826627254486
1,17,22,right_thumb,-0.2157362699508667,-0.011606847867369652,-0.20156548917293549,0.8721710443496704,0.6201252341270447
1,17,19,left_index,0.19169959425926208,0.09871319681406021,-0.3205910921096802,0.9550407528877258,0.37787294387817383
1,17,20,right_index,-0.2165512591600418,0.029595892876386642,-0.22958004474639893,0.8441163897514343,0.5532379150390625
1,17,17,left_pinky,0.2313624769449234,0.07937020808458328,-0.3024749159812927,0.9452941417694092,0.2913970947265625
1,17,18,right_pinky,-0.2393246442079544,0.024834172800183296,-0.19249087572097778,0.8252917528152466,0.504798173904419
2,33,11,left_shoulder,0.12253772467374802,-0.4505596160888672,-0.22423867881298065,0.9987569451332092,0.9891079664230347
2,33,12,right_shoulder,-0.1829749196767807,-0.4323172867298126,-0.1459003984928131,0.9971213936805725,0.9875526428222656
2,33,23,left_hip,0.10410679876804352,-0.009050022810697556,-0.026608582586050034,0.9262048006057739,0.3068220615386963
2,33,24,right_hip,-0.1031716912984848,0.009399226866662502,0.026746273040771484,0.9250274896621704,0.3183301091194153
2,33,13,left_elbow,0.19988511502742767,-0.22684016823768616,-0.2118329554796219,0.9957408905029297,0.8543156981468201
2,33,14,right_elbow,-0.1925109177827835,-0.21082526445388794,-0.12066732347011566,0.9315856099128723,0.8924033045768738
2,33,15,left_wrist,0.21769675612449646,-0.015284019522368908,-0.25727447867393494,0.9533048868179321,0.24585476517677307
2,33,16,right_wrist,-0.22639666497707367,-0.06412915140390396,-0.18712596595287323,0.8215124607086182,0.4669168293476105
2,33,21,left_thumb,0.20100224018096924,0.004267575219273567,-0.2758069634437561,0.9352731108665466,0.17919418215751648
2,33,22,right_thumb,-0.21342036128044128,-0.04896887019276619,-0.2060442864894867,0.8373937606811523,0.36562588810920715
2,33,19,left_index,0.1928340643644333,0.06170247867703438,-0.3131738305091858,0.927278459072113,0.15158766508102417
2,33,20,right_index,-0.2144010215997696,-0.01116651389747858,-0.24000988900661469,0.8100863695144653,0.3305545449256897
2,33,17,left_pinky,0.2318042516708374,0.0512952096760273,-0.2776096761226654,0.9105584025382996,0.11212138086557388
2,33,18,right_pinky,-0.23365087807178497,-0.015502952970564365,-0.19632256031036377,0.7864404916763306,0.284018874168396
3,50,11,left_shoulder,0.12261413037776947,-0.45324110984802246,-0.22202838957309723,0.99870765209198,0.9913239479064941
3,50,12,right_shoulder,-0.18224777281284332,-0.4387356638908386,-0.1463475376367569,0.9970813393592834,0.9858289957046509
3,50,23,left_hip,0.10389024764299393,-0.008994616568088531,-0.026279738172888756,0.912010669708252,0.45166510343551636
3,50,24,right_hip,-0.1031164601445198,0.008807611651718616,0.02647843025624752,0.9090297222137451,0.44119498133659363
3,50,13,left_elbow,0.20392420887947083,-0.2305816411972046,-0.20854493975639343,0.9952284097671509,0.9296261668205261
3,50,14,right_elbow,-0.19210216403007507,-0.21835225820541382,-0.12069948762655258,0.923926591873169,0.936026930809021
3,50,15,left_wrist,0.22806674242019653,-0.016882149502635002,-0.24625590443611145,0.9475148916244507,0.4166499674320221
3,50,16,right_wrist,-0.2168990820646286,-0.07543544471263885,-0.18738073110580444,0.8046355843544006,0.6348414421081543
3,50,21,left_thumb,0.2115812748670578,0.0019385047489777207,-0.26563432812690735,0.9259122014045715,0.28670015931129456
3,50,22,right_thumb,-0.2043231874704361,-0.06131892651319504,-0.20508231222629547,0.8197154998779297,0.5057262778282166
3,50,19,left_index,0.20658797025680542,0.05738511309027672,-0.3043704032897949,0.917565107345581,0.2328862100839615
3,50,20,right_index,-0.20530562102794647,-0.024667583405971527,-0.2387469857931137,0.7929314970970154,0.4527846872806549
3,50,17,left_pinky,0.2427022010087967,0.048508089035749435,-0.26431068778038025,0.8981088995933533,0.17926812171936035
